Country,Year,Expenditure_Total,Expenditure_Interest,Revenue_Total,Total_Debt,SFA,IR,Surplus,Primary_Surplus
France,1961,NA,0.537269826034793,19.954727664736,NA,NA,NA,NA,NA
France,1962,NA,0.6169714344189989,22.439492807541402,NA,NA,NA,NA,NA
France,1963,NA,0.6203293708317159,25.761108329413798,NA,NA,NA,NA,NA
France,1964,NA,0.5905029944599319,29.1796041437066,NA,NA,NA,NA,NA
France,1965,NA,0.663291204347366,31.7953642960662,NA,NA,NA,NA,NA
France,1966,NA,0.657365434207276,34.3295652514124,NA,NA,NA,NA,NA
France,1967,NA,0.8972603620452381,36.969304616808195,NA,NA,NA,NA,NA
France,1968,NA,1.06288563746074,41.027488538473804,NA,NA,NA,NA,NA
France,1969,NA,1.1952278372560798,47.7986770416499,55.0624645944826,NA,NA,NA,NA
France,1970,NA,1.14515507957232,52.8818126007233,56.6779892280615,NA,2.0797381446799013,NA,NA
France,1971,NA,1.10150190620699,57.9924097376892,59.2359032312282,NA,1.9434385750255796,NA,NA
France,1972,NA,0.988122170859945,65.06324203357039,62.0630713399913,NA,1.6681136219073016,NA,NA
France,1973,NA,1.04026894809273,74.3791495063309,65.5633747127457,NA,1.6761480307572476,NA,NA
France,1974,NA,1.33833518613924,87.7422008198066,71.48696503586861,NA,2.041284775231474,NA,NA
France,1975,NA,2.24942234517802,102.271666172181,81.1801128373423,NA,3.14661888926096,NA,NA
France,1976,NA,2.36616001693779,123.27603332011,88.9884818996405,NA,2.914704025699965,NA,NA
France,1977,NA,3.0105875196725402,138.185182781741,98.81625675391251,NA,3.383120439191021,NA,NA
France,1978,NA,3.72424777021066,157.11709556687,116.428265687632,NA,3.768861412637149,NA,NA
France,1979,NA,4.62397720314761,186.50556706159298,133.662260722608,NA,3.9715245914195627,NA,NA
France,1980,NA,5.651209456932141,214.502043584215,149.143646108293,NA,4.227976862264966,NA,NA
France,1981,NA,8.84944636437419,244.558399954131,163.439442540645,NA,5.933505446117777,NA,NA
France,1982,NA,10.4745888252938,287.299675700854,212.924891972315,NA,6.408850068543842,NA,NA
France,1983,NA,14.5530001242105,322.45695240540005,243.320641935016,NA,6.834804512242146,NA,NA
France,1984,NA,16.6854872719574,356.59357824453497,278.132281024318,NA,6.8574072217077315,NA,NA
France,1985,NA,19.3444790966513,383.24746317109805,311.569324261635,NA,6.9551362486255055,NA,NA
France,1986,NA,20.9849297970994,406.632698530131,342.49773014234,NA,6.735236161913573,NA,NA
France,1987,NA,21.187196084547796,430.252628371475,373.28867634767903,NA,6.1860836495887215,NA,NA
France,1988,NA,22.0022857673172,455.386703053726,400.316666687164,NA,5.894174444987555,NA,NA
France,1989,NA,24.517775191785198,488.37536095126,430.128213395865,NA,6.1245951597976145,NA,NA
France,1990,NA,28.1579757888422,518.126525057849,449.176674950953,NA,6.546414513601608,NA,NA
France,1991,NA,30.5768751600268,540.687601910096,476.949696160612,NA,6.807315888200469,NA,NA
France,1992,NA,33.6787195398567,557.278854594594,547.220580612489,NA,7.061272878663381,NA,NA
France,1993,NA,36.778983714315906,570.40338710354,640.921107316939,NA,6.72105271938972,NA,NA
France,1994,NA,39.1301317802322,593.902735812626,712.010735418505,NA,6.105296164147412,NA,NA
France,1995,680.3704,41.9826,618.3317,838.599,64.54956458149502,5.8963436801726745,-62.03870000000006,-20.056100000000065
France,1996,698.5235,45.0734,649.9395,922.65,35.46699999999987,5.3748454267176555,-48.58400000000006,-3.5106000000000606
France,1997,716.6467,45.7963,668.7814,987.8,17.28469999999993,4.963561480518074,-47.86530000000005,-2.0690000000000452
France,1998,726.7161,45.5858,694.5214,1056.933,36.93830000000003,4.614881554970642,-32.19470000000001,13.391099999999987
France,1999,748.589,42.9433,727.0447,1048.138,-30.339300000000094,4.0630106165669915,-21.54430000000002,21.39899999999998
France,2000,775.348699999999,43.6059,756.0065,1081.878,14.397800000000984,4.1603204921489345,-19.342199999999025,24.263700000000973
France,2001,808.225600000001,46.7064,786.539,1111.179,7.6143999999991365,4.317159605796587,-21.68660000000102,25.01979999999898
France,2002,851.1074,47.7935,800.9865,1204.842,43.542100000000005,4.301152199600605,-50.120900000000006,-2.3274000000000044
France,2003,881.7856,46.6581,815.4686,1301.302,30.1429999999998,3.8725492637208854,-66.31700000000001,-19.65890000000001
France,2004,915.9064,47.5106,855.6066,1385.396,23.794200000000046,3.651004916614283,-60.299800000000005,-12.789200000000008
France,2005,956.1425,47.8451,894.3411,1464.489,17.291600000000017,3.4535324196114328,-61.80140000000006,-13.956300000000056
France,2006,992.240799999999,48.0601,943.1782,1446.692,-66.85959999999909,3.2816975750586037,-49.062599999999065,-1.002499999999067
France,2007,1039.2876,52.0952,981.3519,1500.959,-3.6687000000001717,3.6009876324746384,-57.93570000000011,-5.840500000000112
France,2008,1080.2205,57.1693,1010.5304,1663.682,93.03290000000015,3.808851540914841,-69.69009999999992,-12.520799999999916
France,2009,1122.6073,49.2815,979.7734,1899.337,92.82110000000011,2.9621946982656544,-142.83389999999986,-93.55239999999986
France,2010,1151.9618,50.7079,1009.2013,2022.365,-19.732500000000073,2.6697684507804564,-142.7605000000001,-92.0526000000001
France,2011,1175.7047,55.9957,1066.3192,2135.437,3.6864999999997963,2.768822640819041,-109.38550000000009,-53.38980000000009
France,2012,1208.9531,54.9408,1100.9659,2329.887,86.46280000000024,2.5728129652150824,-107.98720000000003,-53.04640000000003
France,2013,1242.358,49.426,1137.6462,2395.961,-38.637800000000425,2.1213904365319003,-104.71180000000004,-55.28580000000004
France,2014,1257.6491,47.3158,1159.1451,2605.139,110.6740000000002,1.9748151159388656,-98.50400000000013,-51.18820000000013
France,2015,1268.0078,44.7074,1182.3268,2675.807,-15.013000000000375,1.7161234007091366,-85.68100000000004,-40.97360000000004
France,2016,1280.6481,42.4307,1196.6229,2787.838,28.005800000000363,1.5857160101606733,-84.02520000000004,-41.59450000000004
France,2017,1321.4446,41.0201,1244.3869,2863.171,-1.724700000000439,1.471394679317808,-77.05770000000007,-36.03760000000007
France,2018,1327.6323,41.6606,1273.0161,2892.366,-25.42119999999977,1.455051060519962,-54.616199999999935,-12.955599999999933
France,2019,1346.1547,36.8682,1287.9292,2988.6970000000097,38.10550000000967,1.274672707395952,-58.22550000000001,-21.35730000000001
France,2020,1430.357,29.7241,1223.2726,3352.177,156.3955999999905,0.9945504679798555,-207.08439999999996,-177.36029999999997
France,2021,1491.4241,34.7999,1326.2748,3428.603,-88.72330000000011,1.038128356587376,-165.14930000000004,-130.34940000000003
France,2022,1550.7431,50.9131,1424.9695,3064.6,-489.77660000000014,1.4849517427360357,-125.77359999999999,-74.86049999999999
France,2023,1609.8829,52.7941,1455.038,3300.685,81.24009999999998,1.7227076943157345,-154.84490000000005,-102.05080000000005
France,2024,1679.274393721,60.9348123593422,1501.56259092397,3526.61228320973,48.21548041269989,1.846126254378779,-177.71180279703003,-116.77699043768783
