Country,Year,Expenditure_Total,Expenditure_Interest,Expenditure_Social_Households
France,1961,NA,0.537269826034793,5.10136850656653
France,1962,NA,0.6169714344189989,6.105269488253979
France,1963,NA,0.6203293708317159,7.25794085777195
France,1964,NA,0.5905029944599319,8.19333965685916
France,1965,NA,0.663291204347366,8.99352890775723
France,1966,NA,0.657365434207276,9.77547085237314
France,1967,NA,0.8972603620452381,10.6844459565709
France,1968,NA,1.06288563746074,12.152307135694901
France,1969,NA,1.1952278372560798,13.7641525239526
France,1970,NA,1.14515507957232,15.1212336086532
France,1971,NA,1.10150190620699,16.8439588033904
France,1972,NA,0.988122170859945,19.020872414057898
France,1973,NA,1.04026894809273,21.9588881495983
France,1974,NA,1.33833518613924,25.958936995583
France,1975,NA,2.24942234517802,32.7293856106583
France,1976,NA,2.36616001693779,37.7276518511278
France,1977,NA,3.0105875196725402,43.475453617952596
France,1978,NA,3.72424777021066,51.2421253863889
France,1979,NA,4.62397720314761,58.7228229776819
France,1980,NA,5.651209456932141,68.06464609769921
France,1981,NA,8.84944636437419,81.1775779169768
France,1982,NA,10.4745888252938,96.8044966647729
France,1983,NA,14.5530001242105,108.370436527639
France,1984,NA,16.6854872719574,119.121380628078
France,1985,NA,19.3444790966513,129.204328201766
France,1986,NA,20.9849297970994,137.363285779246
France,1987,NA,21.187196084547796,142.134260972548
France,1988,NA,22.0022857673172,151.012214811604
France,1989,NA,24.517775191785198,159.837168926233
France,1990,NA,28.1579757888422,169.923116484323
France,1991,NA,30.5768751600268,180.86905957086302
France,1992,NA,33.6787195398567,191.790002787392
France,1993,NA,36.778983714315906,202.493947132206
France,1994,NA,39.1301317802322,208.614915306216
France,1995,680.3704,41.9826,215.0783
France,1996,698.5235,45.0734,222.0727
France,1997,716.6467,45.7963,230.2976
France,1998,726.7161,45.5858,235.6063
France,1999,748.589,42.9433,242.0661
France,2000,775.348699999999,43.6059,247.6518
France,2001,808.225600000001,46.7064,258.9207
France,2002,851.1074,47.7935,271.7581
France,2003,881.7856,46.6581,282.7998
France,2004,915.9064,47.5106,295.514
France,2005,956.1425,47.8451,308.7243
France,2006,992.240799999999,48.0601,323.9554
France,2007,1039.2876,52.0952,338.1281
France,2008,1080.2205,57.1693,349.7192
France,2009,1122.6073,49.2815,369.6343
France,2010,1151.9618,50.7079,381.0668
France,2011,1175.7047,55.9957,392.5064
France,2012,1208.9531,54.9408,406.4885
France,2013,1242.358,49.426,418.6055
France,2014,1257.6491,47.3158,427.0274
France,2015,1268.0078,44.7074,433.8749
France,2016,1280.6481,42.4307,440.5171
France,2017,1321.4446,41.0201,447.7071
France,2018,1327.6323,41.6606,457.1553
France,2019,1346.1547,36.8682,470.5604
France,2020,1430.357,29.7241,517.8375
France,2021,1491.4241,34.7999,505.9251
France,2022,1550.7431,50.9131,511.1669
France,2023,1609.8829,52.7941,531.1184
France,2024,1679.274393721,60.9348123593422,550.799009342248
