Country,Year,Revenue_Taxes_Direct,Revenue_Capital_Transfers,Revenue_Total,Revenue_Taxes_Indirect,Revenue_Social_Contribution,Revenue_Others
Netherlands,1969,6.7777339451989,0.293223529411765,22.270907060188097,4.9701563257913,7.02249856095783,3.2072946988282602
Netherlands,1970,7.39861796643633,0.300317647058824,25.427834497033903,5.86529054738587,8.19842607160674,3.6651822645461802
Netherlands,1971,8.89533838478162,0.3417,29.697319783805902,6.8025983483253,9.75461836601558,3.9030646846833497
Netherlands,1972,10.421053387049401,0.299135294117647,34.155619284100396,7.81476425260185,11.1723446793814,4.44832167095006
Netherlands,1973,12.0357517675622,0.374805882352941,40.0860448400258,8.91338599453535,13.8589980429027,4.903103152672649
Netherlands,1974,13.9233991622422,0.426829411764706,46.609231510928396,9.611358732692711,16.6469175716643,6.0007266325645
Netherlands,1975,15.9520202235799,0.468211764705882,53.639228430795,10.803816688668501,19.002905905829103,7.412273848011579
Netherlands,1976,17.8316691123503,0.8962235294117661,62.510875676821506,12.7427469990483,21.2576280747534,9.78260796125769
Netherlands,1977,19.4893594621275,0.374805882352942,69.22285728043221,15.059130844564502,23.156885337119597,11.14267575426764
Netherlands,1978,21.177044209065897,0.481217647058824,75.19639470371949,16.2811103060817,25.441574024329398,11.81544851718363
Netherlands,1979,22.7357530482111,0.500135294117647,81.5652350047288,16.8662687194916,27.9990613607583,13.464016582150151
Netherlands,1980,24.514420799872003,0.5427,87.8180569380068,17.3786777085316,29.7546860009978,15.627572428605502
Netherlands,1981,24.678390171020002,0.549794117647059,93.5625076861821,17.5051984465662,32.036274703557304,18.7928502473916
Netherlands,1982,25.3982557028895,0.520235294117647,99.1952598179018,18.3265289043073,34.8210942476688,20.129145668918632
Netherlands,1983,24.2034788826339,0.534423529411765,104.52394479192701,19.1995219967458,39.5124043516635,21.07411603147178
Netherlands,1984,23.920531736079603,0.595905882352942,108.11488705108,20.6882493476192,39.2117058405925,23.69849424443555
Netherlands,1985,24.7033855019877,0.651476470588236,114.116415684259,21.607633377337102,40.8970641620937,26.256856172252
Netherlands,1986,26.767000026680197,0.744882352941177,114.413886244585,22.8939275473552,40.9931636862504,23.014912631358232
Netherlands,1987,28.4486858941864,0.7756235294117649,116.731715647073,24.273003591932,43.0246869603592,20.20971567118371
Netherlands,1988,30.1103754969184,0.735423529411765,119.33698360787399,25.0120955699506,44.3814469089374,19.09764210265554
Netherlands,1989,30.8362399082202,0.858388235294118,119.888348569774,24.8138797470298,43.092886622664004,20.2869540565658
Netherlands,1990,36.5581710733438,0.8347411764705891,127.052526452152,26.4691927363153,41.504661153536205,21.6857603124854
Netherlands,1991,41.830186281049,1.05938823529411,141.47557568651598,28.1234513861173,45.7640400629341,24.6985097211215
Netherlands,1992,40.8663663189349,1.03928823529412,145.48731289301,29.3095833051914,49.0717236847155,25.200351348874
Netherlands,1993,44.2837279688375,1.1421529411764701,153.702666720487,32.1299414238787,50.189784815227,25.957059571367502
Netherlands,1994,38.460815666604404,1.35734117647059,152.8310820357,32.5474598593928,55.2200265743122,25.245438758919498
Netherlands,1995,37.474,1.206,152.021,34.343,53.855,25.143
Netherlands,1996,40.615,1.967,159.58,36.825,54.172,26.000999999999998
Netherlands,1997,41.469,1.385,165.801,39.442,57.016,26.489
Netherlands,1998,43.07,1.625,173.893,42.415,60.52,26.262999999999998
Netherlands,1999,45.492,1.712,187.21,47.381,66.234,26.391
Netherlands,2000,48.522,1.848,200.529,50.228,70.661,29.27
Netherlands,2001,49.493,1.895,210.599,56.641,69.502,33.068
Netherlands,2002,52.255,2.062,213.99,58.432,69.413,31.828000000000003
Netherlands,2003,48.776,1.989,219.143,60.002,74.864,33.512
Netherlands,2004,51.395,2.038,227.769,62.566,75.637,36.132999999999996
Netherlands,2005,55.677,2.222,237.32,65.808,76.714,36.899
Netherlands,2006,58.657,2.678,258.423,70.359,85.412,41.317
Netherlands,2007,65.128,2.264,267.848,72.54,85.988,41.928
Netherlands,2008,71.469,2.245,288.237,75.669,89.891,48.962999999999994
Netherlands,2009,65.605,2.253,273.028,71.63,87.417,46.123000000000005
Netherlands,2010,67.371,2.264,280.291,72.91,92.061,45.685
Netherlands,2011,70,2.031,284.421,72.544,93.512,46.334
Netherlands,2012,69.898,1.774,288.342,71.293,96.647,48.730000000000004
Netherlands,2013,69.817,2.193,297.383,74.309,100.17,50.894000000000005
Netherlands,2014,75.721,1.83,301.973,78.281,100.772,45.369
Netherlands,2015,81.497,2.173,303.955,78.938,99.778,41.569
Netherlands,2016,84.631,2.305,317.914,84.323,107.929,38.726
Netherlands,2017,93.613,2.44,330.943,87.829,108.866,38.195
Netherlands,2018,96.235,2.242,345.746,93.145,115.58,38.544000000000004
Netherlands,2019,104.786,2.285,364.103,99.891,118.959,38.182
Netherlands,2020,102.481,2.59,360.92,101.843,118.614,35.392
Netherlands,2021,115.508,3.128,389.572,110.269,121.366,39.301
Netherlands,2022,133.037,3.434,429.861,114.003,129.683,49.70399999999999
Netherlands,2023,156.259,3.654,457.397,118.832,134.641,44.010999999999996
Netherlands,2024,166.373872751877,3.7365,476.215477891521,123.747735610302,139.880280381445,42.47708914789802
