Year,Country,GDP,GDP_r,GDPPOT,Deflator,pi
1949,United States,272.475,2257.352,2352.817952,12.070558778604314,NA
1950,United States,299.827,2559.214,2475.398448,11.715589239508693,-0.02984896030679307
1951,United States,346.914,2699.156,2608.829348,12.852684320580211,0.09263231750700163
1952,United States,367.341,2843.941,2764.659594,12.91661817175532,0.0049620266108578726
1953,United States,389.218,2858.845,2872.154175,13.61451915021626,0.0526220951741343
1954,United States,390.549,2936.852,2944.378518,13.298218636826096,-0.0235067186769915
1955,United States,425.478,3130.068,3019.152595,13.59325100924325,0.021943331072620254
1956,United States,449.353,3192.57,3098.206236,14.074961551352045,0.034824022074909866
1957,United States,474.039,3203.894,3202.258287,14.7957142152643,0.04994011645983942
1958,United States,481.229,3289.032,3318.540646,14.631326177428495,-0.01117270005236648
1959,United States,521.654,3439.832,3456.278305,15.165101086332124,0.03583194815212254
1960,United States,542.382,3470.278,3599.087586,15.629353037422362,0.030153944333566773
1961,United States,562.209,3692.289,3730.888343,15.226570834514847,-0.0261087682626866
1962,United States,603.922,3851.421,3891.361104,15.680498184955633,0.02937580346266655
1963,United States,637.45,4050.147,4062.253653,15.738934907794707,0.003719786416772397
1964,United States,684.46,4259.046,4241.580675,16.070735089501262,0.02086234883754967
1965,United States,742.289,4619.458,4429.355723,16.06874659321505,-1.2374165261164194e-4
1966,United States,813.414,4827.537,4624.43624,16.84946174415649,0.04744253230220297
1967,United States,859.959,4956.477,4838.050221,17.35020660844386,0.0292857022684454
1968,United States,940.651,5202.212,5058.945297,18.081750609163944,0.0412987614151934
1969,United States,1017.615,5308.556,5260.569982,19.169337198288954,0.05840880550920646
1970,United States,1073.303,5299.672,5432.862072,20.25225334699959,0.05495408224280807
1971,United States,1164.85,5531.032,5617.173967000001,21.06026506445813,0.03912202902639983
1972,United States,1279.11,5912.22,5794.836986,21.635020347686652,0.026925221391749243
1973,United States,1425.376,6150.131,5987.7712280000005,23.176351853318245,0.06881912797343759
1974,United States,1545.243,6030.464,6193.950644,25.62394867127969,0.10039496700624939
1975,United States,1684.904,6184.53,6390.22425,27.243848764578715,0.06130035306300963
1976,United States,1873.412,6451.177,6585.224886,29.03984807733535,0.06384119622851792
1977,United States,2081.826,6774.592,6801.571706999999,30.72990963883877,0.05656747720501487
1978,United States,2351.599,7225.75,7040.228437999999,32.54470470193406,0.057378237800990384
1979,United States,2627.333,7318.535,7278.140549,35.89971216917047,0.09811460443803943
1980,United States,2857.307,7315.677,7440.202161,39.05731485958169,0.08430090120099276
1981,United States,3207.041,7410.768,7614.916401,43.27542030731498,0.102554634397936
1982,United States,3343.789,7303.817,7848.883640000001,45.781390744045204,0.05629287943020733
1983,United States,3634.038,7880.794,8101.783429999999,46.11258713271784,0.007208259569924991
1984,United States,4037.613,8320.199,8390.357347,48.52784170186314,0.051051736455708596
1985,United States,4338.979,8668.188,8689.681432,50.05635549205901,0.03101179161290224
1986,United States,4579.631,8920.193,8980.832855,51.34004387573229,0.025321549495787465
1987,United States,4855.215,9319.332,9270.501462,52.098315630347756,0.014661588631144973
1988,United States,5236.438,9673.405,9563.580516,54.1323143195183,0.03829869605061864
1989,United States,5641.58,9938.767,9860.011412,56.76337919985447,0.04746007066540603
1990,United States,5963.144,9998.704,10143.60708,59.63916923633303,0.049421174759701536
1991,United States,6158.129,10115.329,10403.44307,60.87917654482618,0.020578627427965124
1992,United States,6520.327,10558.648,10665.78356,61.75342714332366,0.0142582866762071
1993,United States,6858.559,10833.987,10947.42502,63.305955600648225,0.024829935777940015
1994,United States,7287.236,11279.932,11247.90841,64.60354548236637,0.020289882867785103
1995,United States,7639.749,11528.067,11568.46189,66.2708587658278,0.025480971696739907
1996,United States,8073.122,12037.775,11941.25553,67.06490194408852,0.011910571643168666
1997,United States,8577.552,12577.495,12406.57853,68.19761804715485,0.016748801994316942
1998,United States,9062.817,13191.67,12935.63458,68.70105907743296,0.007354976839065053
1999,United States,9631.172,13827.98,13503.54349,69.64988378635202,0.013716416603005932
2000,United States,10250.952,14229.765,14059.35651,72.03880035966863,0.033723836062414136
2001,United States,10581.929,14253.574,14510.93506,74.24053083107435,0.03010537090625398
2002,United States,10929.108,14537.58,14886.17624,75.17831716145328,0.012552615104683085
2003,United States,11456.45,15162.76,15254.33442,75.55649499167697,0.005017800709891773
2004,United States,12217.196,15670.88,15643.39944,77.96113555843706,0.03132978597447078
2005,United States,13039.197,16136.734,16014.16822,80.80443663507126,0.035821432425028554
2006,United States,13815.583,16561.866,16336.38318,83.41803393409897,0.03183264734175584
2007,United States,14474.228,16915.191,16658.2616,85.56940326597554,0.025463260558479917
2008,United States,14769.862,16485.35,16979.72738,89.5938636425675,0.04595905073380191
2009,United States,14478.067,16502.754,17239.53132,87.73121746830861,-0.021009038013872328
2010,United States,15048.971,16960.864,17492.53719,88.72762024387436,0.011293436800390744
2011,United States,15599.732,17222.583,17776.28839,90.57719158618659,0.020631202568062612
2012,United States,16253.97,17489.852,18088.02803,92.93371950774656,0.025684112743322274
2013,United States,16880.683,18016.147,18422.91329,93.69752034105849,0.008185179483349181
2014,United States,17608.138,18500.031,18777.72656,95.17896483524811,0.015687234684853557
2015,United States,18295.019,18892.206,19150.9692,96.8389768775547,0.017290607163384486
2016,United States,18804.913,19304.352,19528.05803,97.41281655038202,0.00590822181824624
2017,United States,19612.102,19882.352,19914.26761,98.64075437352683,0.012526717820160016
2018,United States,20656.516,20304.874,20335.09873,101.73181079577247,0.03085553809322139
2019,United States,21539.982,20985.448,20763.9792,102.64246920056223,0.008911732256730254
2020,United States,21354.105,20771.691,21174.33034,102.80388341998733,0.0015713518451807573
2021,United States,23681.171,21960.388,21606.08076,107.83584971267355,0.04778703205477175
2022,United States,26006.893,22249.459,22084.92536,116.88775443933265,0.08060394972606844
2023,United States,27720.709,22960.6,22588.18459,120.73164028814578,0.03235612312176528
2024,United States,29184.89,23542.349,23113.34,123.96762107298639,0.026450177458854363
